DEBUG, 
ITS PER TEST:, 100

LAYERS:, 1
TIME (MS), NUM SEGMENTS, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 
0, 1, 

LAYERS:, 2
TIME (MS), NUM SEGMENTS, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
0, 3, 
